column,dtype,n_unique,missing_count,missing_pct,sample_values
Age,float64,63,1311,29.99,"46.0, 32.0, 25.0"
AvgDaysBetweenPurchases,float64,2640,79,1.81,"0.2218649517684887, 1.7179487179487178, 1.456"
CustomerID,int64,4372,0,0.0,"17850, 13047, 12583"
LastLoginIP,str,4372,0,0.0,"59.252.219.201, 77.255.247.14, 51.139.78.80"
MonetaryAvg,float64,4330,0,0.0,"16.950737179487184, 15.70969387755102, 28.634820717131475"
MonetaryTotal,float64,4295,0,0.0,"5288.630000000001, 3079.1, 7187.34"
MonetaryStd,float64,4277,0,0.0,"13.603661689116102, 11.6847688239824, 23.15013187581723"
AvgQuantityPerTransaction,float64,3550,0,0.0,"5.426282051282051, 6.913265306122449, 19.95617529880478"
TotalQuantity,int64,1788,0,0.0,"1693, 1355, 5009"
RegistrationDate,str,1700,0,0.0,"17/07/10, 2010-10-04, 12/09/2009"
AvgLinesPerInvoice,float64,1111,0,0.0,"8.914285714285715, 10.88888888888889, 13.944444444444445"
AvgProductsPerTransaction,float64,1027,0,0.0,"0.6857142857142857, 5.888888888888889, 6.388888888888889"
WeekendPurchaseRatio,float64,855,0,0.0,"0.0, 0.1683673469387755, 0.0557768924302788"
MonetaryMax,float64,852,0,0.0,"107.25, 68.0, 132.8"
MonetaryMin,float64,833,0,0.0,"-30.6, -15.0, -60.84"
ReturnRatio,float64,777,0,0.0,"0.048076923076923, 0.1224489795918367, 0.0159362549800796"
TotalTransactions,int64,474,0,0.0,"312, 196, 251"
CustomerTenureDays,int64,374,0,0.0,"71, 342, 370"
FirstPurchaseDaysAgo,int64,357,0,0.0,"374, 374, 374"
Recency,int64,349,0,0.0,"302, 32, 3"
UniqueProducts,int64,342,0,0.0,"24, 106, 115"
UniqueDescriptions,int64,333,0,0.0,"25, 106, 117"
MaxQuantity,int64,159,0,0.0,"12, 32, 360"
MinQuantity,int64,141,0,0.0,"-12, -3, -36"
Frequency,int64,65,0,0.0,"35, 18, 18"
UniqueInvoices,int64,65,0,0.0,"35, 18, 18"
NegativeQuantityCount,int64,54,0,0.0,"15, 24, 4"
CancelledTransactions,int64,54,0,0.0,"15, 24, 4"
Country,str,37,0,0.0,"United Kingdom, United Kingdom, France"
PreferredHour,int64,14,0,0.0,"9, 13, 12"
Region,str,13,0,0.0,"UK, UK, Europe continentale"
PreferredMonth,int64,12,0,0.0,"12, 10, 11"
SupportTicketsCount,float64,12,0,0.0,"1.0, 3.0, 2.0"
SatisfactionScore,float64,8,0,0.0,"4.0, 4.0, 5.0"
AgeCategory,str,7,0,0.0,"Inconnu, Inconnu, 45-54"
PreferredDayOfWeek,int64,6,0,0.0,"3, 2, 4"
CustomerType,str,5,0,0.0,"Perdu, Régulier, Hyperactif"
ZeroPriceCount,int64,4,0,0.0,"0, 0, 0"
RFMSegment,str,4,0,0.0,"Fidèles, Champions, Champions"
SpendingCategory,str,4,0,0.0,"VIP, VIP, VIP"
FavoriteSeason,str,4,0,0.0,"Hiver, Automne, Automne"
PreferredTimeOfDay,str,4,0,0.0,"Matin, Midi, Midi"
LoyaltyLevel,str,4,0,0.0,"Jeune, Établi, Ancien"
ChurnRiskCategory,str,4,0,0.0,"Critique, Moyen, Faible"
AccountStatus,str,4,0,0.0,"Active, Active, Active"
WeekendPreference,str,3,0,0.0,"Inconnu, Semaine, Semaine"
BasketSizeCategory,str,3,0,0.0,"Moyen, Moyen, Grand"
ProductDiversity,str,3,0,0.0,"Explorateur, Explorateur, Explorateur"
Gender,str,3,0,0.0,"Unknown, M, Unknown"
UniqueCountries,int64,2,0,0.0,"1, 1, 1"
Churn,int64,2,0,0.0,"1, 0, 0"
NewsletterSubscribed,str,1,0,0.0,"Yes, Yes, Yes"
