,PC1,PC2
CustomerID,-0.0117,-0.0051
Recency,-0.1428,0.0183
Frequency,0.3498,-0.0032
MonetaryTotal,0.2512,0.0091
MonetaryAvg,0.0052,0.0136
MonetaryStd,0.0079,0.4512
MonetaryMin,-0.0163,-0.443
MonetaryMax,0.0216,0.4437
TotalQuantity,0.2586,0.0081
AvgQuantityPerTransaction,0.0001,0.0074
MinQuantity,-0.0114,-0.4404
MaxQuantity,0.0193,0.4416
CustomerTenureDays,0.2161,-0.0014
FirstPurchaseDaysAgo,0.1211,0.014
PreferredDayOfWeek,0.0016,-0.0152
PreferredHour,-0.0044,-0.023
PreferredMonth,0.0408,-0.0266
WeekendPurchaseRatio,0.0053,-0.0181
AvgDaysBetweenPurchases,-0.0117,0.05
UniqueProducts,0.3302,-0.0308
UniqueDescriptions,0.3313,-0.0306
AvgProductsPerTransaction,0.0074,-0.0422
UniqueCountries,0.0091,-0.0001
NegativeQuantityCount,0.291,-0.002
ZeroPriceCount,0.1388,0.0006
CancelledTransactions,0.291,-0.002
ReturnRatio,0.0064,0.0508
TotalTransactions,0.3334,-0.0206
UniqueInvoices,0.3498,-0.0032
AvgLinesPerInvoice,0.0635,-0.0447
Age,0.0117,-0.0086
SupportTicketsCount,0.0066,-0.0022
SatisfactionScore,-0.0084,-0.0009
Churn,-0.1308,0.0163
